Ref_Date,GEO,VALUE,BEVERAGE,PRODUCT,Vector,Coordinate,Value
1993,Alberta,Volume in litres,Total spirits,"Total products (x 1,000)",v20857589,10.2.2.1,"16,391"
1994,Alberta,Volume in litres,Total spirits,"Total products (x 1,000)",v20857589,10.2.2.1,"17,197"
1995,Alberta,Volume in litres,Total spirits,"Total products (x 1,000)",v20857589,10.2.2.1,"16,654"
1996,Alberta,Volume in litres,Total spirits,"Total products (x 1,000)",v20857589,10.2.2.1,"16,324"
1997,Alberta,Volume in litres,Total spirits,"Total products (x 1,000)",v20857589,10.2.2.1,"16,662"
1998,Alberta,Volume in litres,Total spirits,"Total products (x 1,000)",v20857589,10.2.2.1,"17,516"
1999,Alberta,Volume in litres,Total spirits,"Total products (x 1,000)",v20857589,10.2.2.1,"18,320"
2000,Alberta,Volume in litres,Total spirits,"Total products (x 1,000)",v20857589,10.2.2.1,"18,448"
2001,Alberta,Volume in litres,Total spirits,"Total products (x 1,000)",v20857589,10.2.2.1,"19,105"
2002,Alberta,Volume in litres,Total spirits,"Total products (x 1,000)",v20857589,10.2.2.1,"19,956"
2003,Alberta,Volume in litres,Total spirits,"Total products (x 1,000)",v20857589,10.2.2.1,"18,999"
2004,Alberta,Volume in litres,Total spirits,"Total products (x 1,000)",v20857589,10.2.2.1,"20,020"
2005,Alberta,Volume in litres,Total spirits,"Total products (x 1,000)",v20857589,10.2.2.1,"20,871"
2006,Alberta,Volume in litres,Total spirits,"Total products (x 1,000)",v20857589,10.2.2.1,"22,355"
2007,Alberta,Volume in litres,Total spirits,"Total products (x 1,000)",v20857589,10.2.2.1,"24,350"
2008,Alberta,Volume in litres,Total spirits,"Total products (x 1,000)",v20857589,10.2.2.1,"25,190"
2009,Alberta,Volume in litres,Total spirits,"Total products (x 1,000)",v20857589,10.2.2.1,"25,421"
2010,Alberta,Volume in litres,Total spirits,"Total products (x 1,000)",v20857589,10.2.2.1,"24,386"
2011,Alberta,Volume in litres,Total spirits,"Total products (x 1,000)",v20857589,10.2.2.1,"25,348"
2012,Alberta,Volume in litres,Total spirits,"Total products (x 1,000)",v20857589,10.2.2.1,"25,540"
2013,Alberta,Volume in litres,Total spirits,"Total products (x 1,000)",v20857589,10.2.2.1,"27,157"
1993,Alberta,Volume in litres,Alcohol,"Total products (x 1,000)",v20857580,10.2.3.1,1
1994,Alberta,Volume in litres,Alcohol,"Total products (x 1,000)",v20857580,10.2.3.1,1
1995,Alberta,Volume in litres,Alcohol,"Total products (x 1,000)",v20857580,10.2.3.1,0
1996,Alberta,Volume in litres,Alcohol,"Total products (x 1,000)",v20857580,10.2.3.1,0
1997,Alberta,Volume in litres,Alcohol,"Total products (x 1,000)",v20857580,10.2.3.1,0
1998,Alberta,Volume in litres,Alcohol,"Total products (x 1,000)",v20857580,10.2.3.1,0
1999,Alberta,Volume in litres,Alcohol,"Total products (x 1,000)",v20857580,10.2.3.1,0
2000,Alberta,Volume in litres,Alcohol,"Total products (x 1,000)",v20857580,10.2.3.1,0
2001,Alberta,Volume in litres,Alcohol,"Total products (x 1,000)",v20857580,10.2.3.1,0
2002,Alberta,Volume in litres,Alcohol,"Total products (x 1,000)",v20857580,10.2.3.1,0
2003,Alberta,Volume in litres,Alcohol,"Total products (x 1,000)",v20857580,10.2.3.1,0
2004,Alberta,Volume in litres,Alcohol,"Total products (x 1,000)",v20857580,10.2.3.1,0
2005,Alberta,Volume in litres,Alcohol,"Total products (x 1,000)",v20857580,10.2.3.1,0
2006,Alberta,Volume in litres,Alcohol,"Total products (x 1,000)",v20857580,10.2.3.1,0
2007,Alberta,Volume in litres,Alcohol,"Total products (x 1,000)",v20857580,10.2.3.1,..
2008,Alberta,Volume in litres,Alcohol,"Total products (x 1,000)",v20857580,10.2.3.1,..
2009,Alberta,Volume in litres,Alcohol,"Total products (x 1,000)",v20857580,10.2.3.1,..
2010,Alberta,Volume in litres,Alcohol,"Total products (x 1,000)",v20857580,10.2.3.1,..
2011,Alberta,Volume in litres,Alcohol,"Total products (x 1,000)",v20857580,10.2.3.1,..
2012,Alberta,Volume in litres,Alcohol,"Total products (x 1,000)",v20857580,10.2.3.1,..
2013,Alberta,Volume in litres,Alcohol,"Total products (x 1,000)",v20857580,10.2.3.1,..
1993,Alberta,Volume in litres,Brandy,"Total products (x 1,000)",v20857581,10.2.4.1,422
1994,Alberta,Volume in litres,Brandy,"Total products (x 1,000)",v20857581,10.2.4.1,422
1995,Alberta,Volume in litres,Brandy,"Total products (x 1,000)",v20857581,10.2.4.1,387
1996,Alberta,Volume in litres,Brandy,"Total products (x 1,000)",v20857581,10.2.4.1,386
1997,Alberta,Volume in litres,Brandy,"Total products (x 1,000)",v20857581,10.2.4.1,370
1998,Alberta,Volume in litres,Brandy,"Total products (x 1,000)",v20857581,10.2.4.1,374
1999,Alberta,Volume in litres,Brandy,"Total products (x 1,000)",v20857581,10.2.4.1,382
2000,Alberta,Volume in litres,Brandy,"Total products (x 1,000)",v20857581,10.2.4.1,368
2001,Alberta,Volume in litres,Brandy,"Total products (x 1,000)",v20857581,10.2.4.1,366
2002,Alberta,Volume in litres,Brandy,"Total products (x 1,000)",v20857581,10.2.4.1,382
2003,Alberta,Volume in litres,Brandy,"Total products (x 1,000)",v20857581,10.2.4.1,380
2004,Alberta,Volume in litres,Brandy,"Total products (x 1,000)",v20857581,10.2.4.1,387
2005,Alberta,Volume in litres,Brandy,"Total products (x 1,000)",v20857581,10.2.4.1,395
2006,Alberta,Volume in litres,Brandy,"Total products (x 1,000)",v20857581,10.2.4.1,390
2007,Alberta,Volume in litres,Brandy,"Total products (x 1,000)",v20857581,10.2.4.1,405
2008,Alberta,Volume in litres,Brandy,"Total products (x 1,000)",v20857581,10.2.4.1,400
2009,Alberta,Volume in litres,Brandy,"Total products (x 1,000)",v20857581,10.2.4.1,398
2010,Alberta,Volume in litres,Brandy,"Total products (x 1,000)",v20857581,10.2.4.1,399
2011,Alberta,Volume in litres,Brandy,"Total products (x 1,000)",v20857581,10.2.4.1,399
2012,Alberta,Volume in litres,Brandy,"Total products (x 1,000)",v20857581,10.2.4.1,406
2013,Alberta,Volume in litres,Brandy,"Total products (x 1,000)",v20857581,10.2.4.1,414
1993,Alberta,Volume in litres,Gin,"Total products (x 1,000)",v20857582,10.2.5.1,378
1994,Alberta,Volume in litres,Gin,"Total products (x 1,000)",v20857582,10.2.5.1,391
1995,Alberta,Volume in litres,Gin,"Total products (x 1,000)",v20857582,10.2.5.1,368
1996,Alberta,Volume in litres,Gin,"Total products (x 1,000)",v20857582,10.2.5.1,338
1997,Alberta,Volume in litres,Gin,"Total products (x 1,000)",v20857582,10.2.5.1,345
1998,Alberta,Volume in litres,Gin,"Total products (x 1,000)",v20857582,10.2.5.1,377
1999,Alberta,Volume in litres,Gin,"Total products (x 1,000)",v20857582,10.2.5.1,414
2000,Alberta,Volume in litres,Gin,"Total products (x 1,000)",v20857582,10.2.5.1,422
2001,Alberta,Volume in litres,Gin,"Total products (x 1,000)",v20857582,10.2.5.1,439
2002,Alberta,Volume in litres,Gin,"Total products (x 1,000)",v20857582,10.2.5.1,472
2003,Alberta,Volume in litres,Gin,"Total products (x 1,000)",v20857582,10.2.5.1,477
2004,Alberta,Volume in litres,Gin,"Total products (x 1,000)",v20857582,10.2.5.1,517
2005,Alberta,Volume in litres,Gin,"Total products (x 1,000)",v20857582,10.2.5.1,547
2006,Alberta,Volume in litres,Gin,"Total products (x 1,000)",v20857582,10.2.5.1,595
2007,Alberta,Volume in litres,Gin,"Total products (x 1,000)",v20857582,10.2.5.1,647
2008,Alberta,Volume in litres,Gin,"Total products (x 1,000)",v20857582,10.2.5.1,682
2009,Alberta,Volume in litres,Gin,"Total products (x 1,000)",v20857582,10.2.5.1,654
2010,Alberta,Volume in litres,Gin,"Total products (x 1,000)",v20857582,10.2.5.1,606
2011,Alberta,Volume in litres,Gin,"Total products (x 1,000)",v20857582,10.2.5.1,623
2012,Alberta,Volume in litres,Gin,"Total products (x 1,000)",v20857582,10.2.5.1,634
2013,Alberta,Volume in litres,Gin,"Total products (x 1,000)",v20857582,10.2.5.1,662
1993,Alberta,Volume in litres,Liqueurs,"Total products (x 1,000)",v20857583,10.2.6.1,"1,794"
1994,Alberta,Volume in litres,Liqueurs,"Total products (x 1,000)",v20857583,10.2.6.1,"1,886"
1995,Alberta,Volume in litres,Liqueurs,"Total products (x 1,000)",v20857583,10.2.6.1,"1,873"
1996,Alberta,Volume in litres,Liqueurs,"Total products (x 1,000)",v20857583,10.2.6.1,"1,890"
1997,Alberta,Volume in litres,Liqueurs,"Total products (x 1,000)",v20857583,10.2.6.1,"2,019"
1998,Alberta,Volume in litres,Liqueurs,"Total products (x 1,000)",v20857583,10.2.6.1,"2,177"
1999,Alberta,Volume in litres,Liqueurs,"Total products (x 1,000)",v20857583,10.2.6.1,"2,367"
2000,Alberta,Volume in litres,Liqueurs,"Total products (x 1,000)",v20857583,10.2.6.1,"2,595"
2001,Alberta,Volume in litres,Liqueurs,"Total products (x 1,000)",v20857583,10.2.6.1,"2,442"
2002,Alberta,Volume in litres,Liqueurs,"Total products (x 1,000)",v20857583,10.2.6.1,"2,478"
2003,Alberta,Volume in litres,Liqueurs,"Total products (x 1,000)",v20857583,10.2.6.1,"2,317"
2004,Alberta,Volume in litres,Liqueurs,"Total products (x 1,000)",v20857583,10.2.6.1,"2,278"
2005,Alberta,Volume in litres,Liqueurs,"Total products (x 1,000)",v20857583,10.2.6.1,"2,406"
2006,Alberta,Volume in litres,Liqueurs,"Total products (x 1,000)",v20857583,10.2.6.1,"2,631"
2007,Alberta,Volume in litres,Liqueurs,"Total products (x 1,000)",v20857583,10.2.6.1,"3,051"
2008,Alberta,Volume in litres,Liqueurs,"Total products (x 1,000)",v20857583,10.2.6.1,"3,174"
2009,Alberta,Volume in litres,Liqueurs,"Total products (x 1,000)",v20857583,10.2.6.1,"3,147"
2010,Alberta,Volume in litres,Liqueurs,"Total products (x 1,000)",v20857583,10.2.6.1,"2,820"
2011,Alberta,Volume in litres,Liqueurs,"Total products (x 1,000)",v20857583,10.2.6.1,"2,899"
2012,Alberta,Volume in litres,Liqueurs,"Total products (x 1,000)",v20857583,10.2.6.1,"2,887"
2013,Alberta,Volume in litres,Liqueurs,"Total products (x 1,000)",v20857583,10.2.6.1,"3,894"
1993,Alberta,Volume in litres,Rum,"Total products (x 1,000)",v20857584,10.2.7.1,"3,069"
1994,Alberta,Volume in litres,Rum,"Total products (x 1,000)",v20857584,10.2.7.1,"3,295"
1995,Alberta,Volume in litres,Rum,"Total products (x 1,000)",v20857584,10.2.7.1,"3,127"
1996,Alberta,Volume in litres,Rum,"Total products (x 1,000)",v20857584,10.2.7.1,"3,083"
1997,Alberta,Volume in litres,Rum,"Total products (x 1,000)",v20857584,10.2.7.1,"3,143"
1998,Alberta,Volume in litres,Rum,"Total products (x 1,000)",v20857584,10.2.7.1,"3,271"
1999,Alberta,Volume in litres,Rum,"Total products (x 1,000)",v20857584,10.2.7.1,"3,340"
2000,Alberta,Volume in litres,Rum,"Total products (x 1,000)",v20857584,10.2.7.1,"3,345"
2001,Alberta,Volume in litres,Rum,"Total products (x 1,000)",v20857584,10.2.7.1,"3,370"
2002,Alberta,Volume in litres,Rum,"Total products (x 1,000)",v20857584,10.2.7.1,"3,575"
2003,Alberta,Volume in litres,Rum,"Total products (x 1,000)",v20857584,10.2.7.1,"3,383"
2004,Alberta,Volume in litres,Rum,"Total products (x 1,000)",v20857584,10.2.7.1,"3,627"
2005,Alberta,Volume in litres,Rum,"Total products (x 1,000)",v20857584,10.2.7.1,"3,807"
2006,Alberta,Volume in litres,Rum,"Total products (x 1,000)",v20857584,10.2.7.1,"4,125"
2007,Alberta,Volume in litres,Rum,"Total products (x 1,000)",v20857584,10.2.7.1,"4,564"
2008,Alberta,Volume in litres,Rum,"Total products (x 1,000)",v20857584,10.2.7.1,"4,881"
2009,Alberta,Volume in litres,Rum,"Total products (x 1,000)",v20857584,10.2.7.1,"4,952"
2010,Alberta,Volume in litres,Rum,"Total products (x 1,000)",v20857584,10.2.7.1,"4,879"
2011,Alberta,Volume in litres,Rum,"Total products (x 1,000)",v20857584,10.2.7.1,"5,160"
2012,Alberta,Volume in litres,Rum,"Total products (x 1,000)",v20857584,10.2.7.1,"5,304"
2013,Alberta,Volume in litres,Rum,"Total products (x 1,000)",v20857584,10.2.7.1,"5,551"
1993,Alberta,Volume in litres,Whisky,"Total products (x 1,000)",v20857585,10.2.8.1,"6,535"
1994,Alberta,Volume in litres,Whisky,"Total products (x 1,000)",v20857585,10.2.8.1,"6,829"
1995,Alberta,Volume in litres,Whisky,"Total products (x 1,000)",v20857585,10.2.8.1,"6,535"
1996,Alberta,Volume in litres,Whisky,"Total products (x 1,000)",v20857585,10.2.8.1,"5,906"
1997,Alberta,Volume in litres,Whisky,"Total products (x 1,000)",v20857585,10.2.8.1,"5,929"
1998,Alberta,Volume in litres,Whisky,"Total products (x 1,000)",v20857585,10.2.8.1,"6,455"
1999,Alberta,Volume in litres,Whisky,"Total products (x 1,000)",v20857585,10.2.8.1,"6,539"
2000,Alberta,Volume in litres,Whisky,"Total products (x 1,000)",v20857585,10.2.8.1,"6,497"
2001,Alberta,Volume in litres,Whisky,"Total products (x 1,000)",v20857585,10.2.8.1,"6,548"
2002,Alberta,Volume in litres,Whisky,"Total products (x 1,000)",v20857585,10.2.8.1,"6,740"
2003,Alberta,Volume in litres,Whisky,"Total products (x 1,000)",v20857585,10.2.8.1,"6,453"
2004,Alberta,Volume in litres,Whisky,"Total products (x 1,000)",v20857585,10.2.8.1,"6,678"
2005,Alberta,Volume in litres,Whisky,"Total products (x 1,000)",v20857585,10.2.8.1,"6,776"
2006,Alberta,Volume in litres,Whisky,"Total products (x 1,000)",v20857585,10.2.8.1,"7,126"
2007,Alberta,Volume in litres,Whisky,"Total products (x 1,000)",v20857585,10.2.8.1,"7,323"
2008,Alberta,Volume in litres,Whisky,"Total products (x 1,000)",v20857585,10.2.8.1,"7,170"
2009,Alberta,Volume in litres,Whisky,"Total products (x 1,000)",v20857585,10.2.8.1,"6,899"
2010,Alberta,Volume in litres,Whisky,"Total products (x 1,000)",v20857585,10.2.8.1,"6,526"
2011,Alberta,Volume in litres,Whisky,"Total products (x 1,000)",v20857585,10.2.8.1,"6,589"
2012,Alberta,Volume in litres,Whisky,"Total products (x 1,000)",v20857585,10.2.8.1,"6,586"
2013,Alberta,Volume in litres,Whisky,"Total products (x 1,000)",v20857585,10.2.8.1,"6,816"
1993,Alberta,Volume in litres,Vodka,"Total products (x 1,000)",v20857586,10.2.9.1,"3,758"
1994,Alberta,Volume in litres,Vodka,"Total products (x 1,000)",v20857586,10.2.9.1,"3,942"
1995,Alberta,Volume in litres,Vodka,"Total products (x 1,000)",v20857586,10.2.9.1,"3,895"
1996,Alberta,Volume in litres,Vodka,"Total products (x 1,000)",v20857586,10.2.9.1,"3,827"
1997,Alberta,Volume in litres,Vodka,"Total products (x 1,000)",v20857586,10.2.9.1,"3,968"
1998,Alberta,Volume in litres,Vodka,"Total products (x 1,000)",v20857586,10.2.9.1,"4,208"
1999,Alberta,Volume in litres,Vodka,"Total products (x 1,000)",v20857586,10.2.9.1,"4,492"
2000,Alberta,Volume in litres,Vodka,"Total products (x 1,000)",v20857586,10.2.9.1,"4,396"
2001,Alberta,Volume in litres,Vodka,"Total products (x 1,000)",v20857586,10.2.9.1,"4,606"
2002,Alberta,Volume in litres,Vodka,"Total products (x 1,000)",v20857586,10.2.9.1,"4,879"
2003,Alberta,Volume in litres,Vodka,"Total products (x 1,000)",v20857586,10.2.9.1,"4,647"
2004,Alberta,Volume in litres,Vodka,"Total products (x 1,000)",v20857586,10.2.9.1,"5,016"
2005,Alberta,Volume in litres,Vodka,"Total products (x 1,000)",v20857586,10.2.9.1,"5,115"
2006,Alberta,Volume in litres,Vodka,"Total products (x 1,000)",v20857586,10.2.9.1,"5,573"
2007,Alberta,Volume in litres,Vodka,"Total products (x 1,000)",v20857586,10.2.9.1,"6,261"
2008,Alberta,Volume in litres,Vodka,"Total products (x 1,000)",v20857586,10.2.9.1,"6,768"
2009,Alberta,Volume in litres,Vodka,"Total products (x 1,000)",v20857586,10.2.9.1,"6,992"
2010,Alberta,Volume in litres,Vodka,"Total products (x 1,000)",v20857586,10.2.9.1,"7,017"
2011,Alberta,Volume in litres,Vodka,"Total products (x 1,000)",v20857586,10.2.9.1,"7,666"
2012,Alberta,Volume in litres,Vodka,"Total products (x 1,000)",v20857586,10.2.9.1,"7,812"
2013,Alberta,Volume in litres,Vodka,"Total products (x 1,000)",v20857586,10.2.9.1,"8,356"
1993,Alberta,Volume in litres,Other spirits,"Total products (x 1,000)",v20857587,10.2.10.1,434
1994,Alberta,Volume in litres,Other spirits,"Total products (x 1,000)",v20857587,10.2.10.1,431
1995,Alberta,Volume in litres,Other spirits,"Total products (x 1,000)",v20857587,10.2.10.1,469
1996,Alberta,Volume in litres,Other spirits,"Total products (x 1,000)",v20857587,10.2.10.1,894
1997,Alberta,Volume in litres,Other spirits,"Total products (x 1,000)",v20857587,10.2.10.1,888
1998,Alberta,Volume in litres,Other spirits,"Total products (x 1,000)",v20857587,10.2.10.1,654
1999,Alberta,Volume in litres,Other spirits,"Total products (x 1,000)",v20857587,10.2.10.1,786
2000,Alberta,Volume in litres,Other spirits,"Total products (x 1,000)",v20857587,10.2.10.1,825
2001,Alberta,Volume in litres,Other spirits,"Total products (x 1,000)",v20857587,10.2.10.1,"1,334"
2002,Alberta,Volume in litres,Other spirits,"Total products (x 1,000)",v20857587,10.2.10.1,"1,430"
2003,Alberta,Volume in litres,Other spirits,"Total products (x 1,000)",v20857587,10.2.10.1,"1,342"
2004,Alberta,Volume in litres,Other spirits,"Total products (x 1,000)",v20857587,10.2.10.1,"1,517"
2005,Alberta,Volume in litres,Other spirits,"Total products (x 1,000)",v20857587,10.2.10.1,"1,825"
2006,Alberta,Volume in litres,Other spirits,"Total products (x 1,000)",v20857587,10.2.10.1,"1,915"
2007,Alberta,Volume in litres,Other spirits,"Total products (x 1,000)",v20857587,10.2.10.1,"2,099"
2008,Alberta,Volume in litres,Other spirits,"Total products (x 1,000)",v20857587,10.2.10.1,"2,115"
2009,Alberta,Volume in litres,Other spirits,"Total products (x 1,000)",v20857587,10.2.10.1,"2,379"
2010,Alberta,Volume in litres,Other spirits,"Total products (x 1,000)",v20857587,10.2.10.1,"2,139"
2011,Alberta,Volume in litres,Other spirits,"Total products (x 1,000)",v20857587,10.2.10.1,"2,012"
2012,Alberta,Volume in litres,Other spirits,"Total products (x 1,000)",v20857587,10.2.10.1,"1,911"
2013,Alberta,Volume in litres,Other spirits,"Total products (x 1,000)",v20857587,10.2.10.1,"1,464"
1993,Alberta,Volume in litres,"Coolers, spirits","Total products (x 1,000)",v20857588,10.2.11.1,0
1994,Alberta,Volume in litres,"Coolers, spirits","Total products (x 1,000)",v20857588,10.2.11.1,0
1995,Alberta,Volume in litres,"Coolers, spirits","Total products (x 1,000)",v20857588,10.2.11.1,0
1996,Alberta,Volume in litres,"Coolers, spirits","Total products (x 1,000)",v20857588,10.2.11.1,0
1997,Alberta,Volume in litres,"Coolers, spirits","Total products (x 1,000)",v20857588,10.2.11.1,0
1998,Alberta,Volume in litres,"Coolers, spirits","Total products (x 1,000)",v20857588,10.2.11.1,0
1999,Alberta,Volume in litres,"Coolers, spirits","Total products (x 1,000)",v20857588,10.2.11.1,0
2000,Alberta,Volume in litres,"Coolers, spirits","Total products (x 1,000)",v20857588,10.2.11.1,0
2001,Alberta,Volume in litres,"Coolers, spirits","Total products (x 1,000)",v20857588,10.2.11.1,0
2002,Alberta,Volume in litres,"Coolers, spirits","Total products (x 1,000)",v20857588,10.2.11.1,0
2003,Alberta,Volume in litres,"Coolers, spirits","Total products (x 1,000)",v20857588,10.2.11.1,0
2004,Alberta,Volume in litres,"Coolers, spirits","Total products (x 1,000)",v20857588,10.2.11.1,0
2005,Alberta,Volume in litres,"Coolers, spirits","Total products (x 1,000)",v20857588,10.2.11.1,0
2006,Alberta,Volume in litres,"Coolers, spirits","Total products (x 1,000)",v20857588,10.2.11.1,0
2007,Alberta,Volume in litres,"Coolers, spirits","Total products (x 1,000)",v20857588,10.2.11.1,..
2008,Alberta,Volume in litres,"Coolers, spirits","Total products (x 1,000)",v20857588,10.2.11.1,..
2009,Alberta,Volume in litres,"Coolers, spirits","Total products (x 1,000)",v20857588,10.2.11.1,..
2010,Alberta,Volume in litres,"Coolers, spirits","Total products (x 1,000)",v20857588,10.2.11.1,..
2011,Alberta,Volume in litres,"Coolers, spirits","Total products (x 1,000)",v20857588,10.2.11.1,..
2012,Alberta,Volume in litres,"Coolers, spirits","Total products (x 1,000)",v20857588,10.2.11.1,..
2013,Alberta,Volume in litres,"Coolers, spirits","Total products (x 1,000)",v20857588,10.2.11.1,..
1993,Alberta,Volume in litres,Total wines,"Total products (x 1,000)",v20857594,10.2.12.1,"19,245"
1994,Alberta,Volume in litres,Total wines,"Total products (x 1,000)",v20857594,10.2.12.1,"19,883"
1995,Alberta,Volume in litres,Total wines,"Total products (x 1,000)",v20857594,10.2.12.1,"19,735"
1996,Alberta,Volume in litres,Total wines,"Total products (x 1,000)",v20857594,10.2.12.1,"19,937"
1997,Alberta,Volume in litres,Total wines,"Total products (x 1,000)",v20857594,10.2.12.1,"21,952"
1998,Alberta,Volume in litres,Total wines,"Total products (x 1,000)",v20857594,10.2.12.1,"24,641"
1999,Alberta,Volume in litres,Total wines,"Total products (x 1,000)",v20857594,10.2.12.1,"27,782"
2000,Alberta,Volume in litres,Total wines,"Total products (x 1,000)",v20857594,10.2.12.1,"28,144"
2001,Alberta,Volume in litres,Total wines,"Total products (x 1,000)",v20857594,10.2.12.1,"30,757"
2002,Alberta,Volume in litres,Total wines,"Total products (x 1,000)",v20857594,10.2.12.1,"33,757"
2003,Alberta,Volume in litres,Total wines,"Total products (x 1,000)",v20857594,10.2.12.1,"34,458"
2004,Alberta,Volume in litres,Total wines,"Total products (x 1,000)",v20857594,10.2.12.1,"36,239"
2005,Alberta,Volume in litres,Total wines,"Total products (x 1,000)",v20857594,10.2.12.1,"37,003"
2006,Alberta,Volume in litres,Total wines,"Total products (x 1,000)",v20857594,10.2.12.1,"39,432"
2007,Alberta,Volume in litres,Total wines,"Total products (x 1,000)",v20857594,10.2.12.1,"43,526"
2008,Alberta,Volume in litres,Total wines,"Total products (x 1,000)",v20857594,10.2.12.1,"45,860"
2009,Alberta,Volume in litres,Total wines,"Total products (x 1,000)",v20857594,10.2.12.1,"46,520"
2010,Alberta,Volume in litres,Total wines,"Total products (x 1,000)",v20857594,10.2.12.1,"47,351"
2011,Alberta,Volume in litres,Total wines,"Total products (x 1,000)",v20857594,10.2.12.1,"49,162"
2012,Alberta,Volume in litres,Total wines,"Total products (x 1,000)",v20857594,10.2.12.1,"53,151"
2013,Alberta,Volume in litres,Total wines,"Total products (x 1,000)",v20857594,10.2.12.1,"58,801"
1993,Alberta,Volume in litres,"Cider, wines","Total products (x 1,000)",v20857590,10.2.13.1,387
1994,Alberta,Volume in litres,"Cider, wines","Total products (x 1,000)",v20857590,10.2.13.1,29
1995,Alberta,Volume in litres,"Cider, wines","Total products (x 1,000)",v20857590,10.2.13.1,430
1996,Alberta,Volume in litres,"Cider, wines","Total products (x 1,000)",v20857590,10.2.13.1,887
1997,Alberta,Volume in litres,"Cider, wines","Total products (x 1,000)",v20857590,10.2.13.1,"1,963"
1998,Alberta,Volume in litres,"Cider, wines","Total products (x 1,000)",v20857590,10.2.13.1,"2,476"
1999,Alberta,Volume in litres,"Cider, wines","Total products (x 1,000)",v20857590,10.2.13.1,"2,577"
2000,Alberta,Volume in litres,"Cider, wines","Total products (x 1,000)",v20857590,10.2.13.1,"2,343"
2001,Alberta,Volume in litres,"Cider, wines","Total products (x 1,000)",v20857590,10.2.13.1,"2,258"
2002,Alberta,Volume in litres,"Cider, wines","Total products (x 1,000)",v20857590,10.2.13.1,"2,257"
2003,Alberta,Volume in litres,"Cider, wines","Total products (x 1,000)",v20857590,10.2.13.1,"2,273"
2004,Alberta,Volume in litres,"Cider, wines","Total products (x 1,000)",v20857590,10.2.13.1,"2,386"
2005,Alberta,Volume in litres,"Cider, wines","Total products (x 1,000)",v20857590,10.2.13.1,"2,285"
2006,Alberta,Volume in litres,"Cider, wines","Total products (x 1,000)",v20857590,10.2.13.1,"2,391"
2007,Alberta,Volume in litres,"Cider, wines","Total products (x 1,000)",v20857590,10.2.13.1,"2,765"
2008,Alberta,Volume in litres,"Cider, wines","Total products (x 1,000)",v20857590,10.2.13.1,"3,023"
2009,Alberta,Volume in litres,"Cider, wines","Total products (x 1,000)",v20857590,10.2.13.1,"3,302"
2010,Alberta,Volume in litres,"Cider, wines","Total products (x 1,000)",v20857590,10.2.13.1,"3,359"
2011,Alberta,Volume in litres,"Cider, wines","Total products (x 1,000)",v20857590,10.2.13.1,"3,300"
2012,Alberta,Volume in litres,"Cider, wines","Total products (x 1,000)",v20857590,10.2.13.1,"3,401"
2013,Alberta,Volume in litres,"Cider, wines","Total products (x 1,000)",v20857590,10.2.13.1,"3,561"
1993,Alberta,Volume in litres,"Sparkling, wines","Total products (x 1,000)",v20857591,10.2.14.1,"1,178"
1994,Alberta,Volume in litres,"Sparkling, wines","Total products (x 1,000)",v20857591,10.2.14.1,"1,266"
1995,Alberta,Volume in litres,"Sparkling, wines","Total products (x 1,000)",v20857591,10.2.14.1,993
1996,Alberta,Volume in litres,"Sparkling, wines","Total products (x 1,000)",v20857591,10.2.14.1,"1,145"
1997,Alberta,Volume in litres,"Sparkling, wines","Total products (x 1,000)",v20857591,10.2.14.1,"1,164"
1998,Alberta,Volume in litres,"Sparkling, wines","Total products (x 1,000)",v20857591,10.2.14.1,"1,173"
1999,Alberta,Volume in litres,"Sparkling, wines","Total products (x 1,000)",v20857591,10.2.14.1,"1,234"
2000,Alberta,Volume in litres,"Sparkling, wines","Total products (x 1,000)",v20857591,10.2.14.1,"1,404"
2001,Alberta,Volume in litres,"Sparkling, wines","Total products (x 1,000)",v20857591,10.2.14.1,972
2002,Alberta,Volume in litres,"Sparkling, wines","Total products (x 1,000)",v20857591,10.2.14.1,992
2003,Alberta,Volume in litres,"Sparkling, wines","Total products (x 1,000)",v20857591,10.2.14.1,970
2004,Alberta,Volume in litres,"Sparkling, wines","Total products (x 1,000)",v20857591,10.2.14.1,969
2005,Alberta,Volume in litres,"Sparkling, wines","Total products (x 1,000)",v20857591,10.2.14.1,964
2006,Alberta,Volume in litres,"Sparkling, wines","Total products (x 1,000)",v20857591,10.2.14.1,"1,018"
2007,Alberta,Volume in litres,"Sparkling, wines","Total products (x 1,000)",v20857591,10.2.14.1,"1,131"
2008,Alberta,Volume in litres,"Sparkling, wines","Total products (x 1,000)",v20857591,10.2.14.1,"1,193"
2009,Alberta,Volume in litres,"Sparkling, wines","Total products (x 1,000)",v20857591,10.2.14.1,"1,219"
2010,Alberta,Volume in litres,"Sparkling, wines","Total products (x 1,000)",v20857591,10.2.14.1,"1,252"
2011,Alberta,Volume in litres,"Sparkling, wines","Total products (x 1,000)",v20857591,10.2.14.1,"1,327"
2012,Alberta,Volume in litres,"Sparkling, wines","Total products (x 1,000)",v20857591,10.2.14.1,"1,418"
2013,Alberta,Volume in litres,"Sparkling, wines","Total products (x 1,000)",v20857591,10.2.14.1,"1,543"
1993,Alberta,Volume in litres,Other wines,"Total products (x 1,000)",v20857592,10.2.15.1,"14,560"
1994,Alberta,Volume in litres,Other wines,"Total products (x 1,000)",v20857592,10.2.15.1,"15,158"
1995,Alberta,Volume in litres,Other wines,"Total products (x 1,000)",v20857592,10.2.15.1,"14,843"
